number,latitude,longitude,meters
5171,53.84189609820406,27.62631341771339,191.573
5181,53.841839126554916,27.6263509686396,191.880
5191,53.84188343784427,27.626463621418225,192.059
5201,53.84193407926041,27.62660846070503,192.179
5211,53.84201637143102,27.62686595277046,192.296
5221,53.842437325004646,27.62535318688606,185.962
5231,53.8423550336614,27.625487297336804,186.924
5241,53.842263246972365,27.62561604336952,187.896
5251,53.84223159634329,27.625760882656323,188.535
5261,53.84219361555682,27.625954001705395,189.371
5271,53.842180955286985,27.626136391918408,190.064
5281,53.84212081895308,27.626238315860974,190.614
5291,53.84205435237827,27.62631878213142,191.109
5301,53.8420448571447,27.626447528164135,191.550
5311,53.842082838066105,27.62653872327064,191.640
5321,53.84224109153452,27.626941054622876,191.757
5331,53.84215879980561,27.626758664409863,191.728
5341,53.842263246972365,27.62656554536079,191.160
5351,53.84220627582279,27.62637242631172,190.758
5361,53.84219045048971,27.62709662274574,192.136
5371,53.842082838066105,27.627241462032543,192.575
5381,53.842095498365616,27.627450674335705,192.517
5391,53.84197206028232,27.62761697129463,192.896
5401,53.84184862183515,27.627670615474926,193.245
5411,53.841949904690416,27.627418487827526,192.954
5421,53.84201320635053,27.627761810581433,192.779
5431,53.84211765388048,27.628153413097607,192.570
5441,53.84232971321555,27.628920524875866,192.424
5451,53.84239301430146,27.628282159130322,192.070
5461,53.84249746088396,27.627509682934033,191.352
5471,53.84234237344038,27.62807294682716,191.991
5481,53.842260081910545,27.628426998417126,192.439
5491,53.84212714909755,27.628491371433483,192.688
5501,53.8420448571447,27.627944200794445,192.708
5511,53.841924583999564,27.627992480556713,193.041
5521,53.84188027275372,27.628282159130322,193.158
5531,53.84176949443403,27.62830898122047,193.478
5541,53.84196889519849,27.628410905163037,192.937
5551,53.842000546026156,27.628636210720288,192.904
5561,53.84184545674198,27.628738134662854,193.278
5571,53.8420638476097,27.629145830433117,192.817
5581,53.841911923648404,27.62908682183479,193.098
5591,53.842215771019774,27.62884005860542,192.584
5601,53.84238668419719,27.6286201174662,192.336
5611,53.84213980938366,27.62882396535133,192.700
5621,53.84195623486071,27.628872245113598,192.962
5631,53.84160490896064,27.628646939556347,194.041
5641,53.84174417363405,27.62886151627754,193.691
5651,53.841712522612596,27.62908145741676,193.903
5661,53.84162706473511,27.62934431390022,194.409
5671,53.841709357509124,27.629623263637768,194.350
5681,53.8416872017782,27.62984856919502,194.638
5691,53.84175683403594,27.63006851033424,194.713
5701,53.84170302730148,27.630256264965283,195.165
5711,53.84172201792153,27.630503028194653,195.456
5721,53.84183596146101,27.630905359546887,195.704
5731,53.842146139525255,27.63079807118629,195.039
5741,53.84212398402543,27.630449384014355,194.489
5751,53.84201320635053,27.630642503063427,194.930
5761,53.84192774908675,27.630390375416027,194.684
